,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_grid_1_AutoML_20190417_211914_model_3,118121943.36549428,10868.391940185737,118121943.36549428,4726.8982140817825,
1,XGBoost_1_AutoML_20190417_205327,118655561.4426519,10892.913358815074,118655561.4426519,4961.036578792157,
2,XGBoost_1_AutoML_20190417_211914,118890634.12717912,10903.698185807378,118890634.12717912,4922.220711286338,
3,XGBoost_1_AutoML_20190417_204446,119400647.51857251,10927.060332887913,119400647.51857251,4956.483949697334,
4,XGBoost_1_AutoML_20190417_210453,119645657.07585192,10938.265725235053,119645657.07585192,4951.189072621323,
5,GBM_4_AutoML_20190417_210453,120421237.71502104,10973.661089856068,120421237.71502104,5127.5202779008005,
6,XGBoost_2_AutoML_20190417_205327,121003612.42279616,11000.164199810662,121003612.42279616,5045.343321588208,
7,GBM_3_AutoML_20190417_204446,121198991.284272,11009.041342654318,121198991.284272,5129.597490728228,
8,XGBoost_grid_1_AutoML_20190417_210453_model_4,121280962.73801309,11012.76362853635,121280962.73801309,5029.315160771801,
9,GBM_4_AutoML_20190417_205327,121402229.80152889,11018.2680037077,121402229.80152889,5142.832153456142,
10,GBM_4_AutoML_20190417_211914,121432445.52988732,11019.639083467631,121432445.52988732,5142.686855886803,
11,XGBoost_2_AutoML_20190417_204446,121486859.02302168,11022.107739585095,121486859.02302168,5037.260491959731,
12,XGBoost_grid_1_AutoML_20190417_210453_model_2,121722216.68663906,11032.779191420403,121722216.68663906,4887.967478807334,
13,GBM_3_AutoML_20190417_210453,121936143.3291583,11042.46998316764,121936143.3291583,5169.510279341214,
14,GBM_2_AutoML_20190417_204446,121983723.3244664,11044.624182128897,121983723.3244664,5151.171069052629,
15,GBM_1_AutoML_20190417_205327,122024228.33983286,11046.457728151267,122024228.33983286,5136.0433343050845,
16,GBM_1_AutoML_20190417_210453,122240219.6078162,11056.229900278677,122240219.6078162,5124.379340224941,
17,GBM_1_AutoML_20190417_204446,122317047.7470508,11059.703782066264,122317047.7470508,5199.134704173706,
18,XGBoost_grid_1_AutoML_20190417_211914_model_1,122341741.46143459,11060.820107995363,122341741.46143459,5193.05116622618,
19,GBM_3_AutoML_20190417_205327,122430659.26305258,11064.838871987815,122430659.26305258,5169.904928613536,
20,XGBoost_2_AutoML_20190417_211914,122548069.63710453,11070.143162448467,122548069.63710453,5071.5377528516465,
21,XGBoost_grid_1_AutoML_20190417_211914_model_2,122591196.17890571,11072.090867532912,122591196.17890571,5008.800260691267,
22,GBM_4_AutoML_20190417_204446,122801460.50350341,11081.582039740691,122801460.50350341,5140.187618277063,
23,GBM_grid_1_AutoML_20190417_211914_model_1,122934006.77830714,11087.560903025837,122934006.77830714,5293.848998801207,
24,XGBoost_2_AutoML_20190417_210453,123598734.64175124,11117.49677948014,123598734.64175124,5046.370578209725,
25,GBM_2_AutoML_20190417_211914,123711115.05629107,11122.549845080088,123711115.05629107,5170.537061111582,
26,GBM_2_AutoML_20190417_205327,123974897.18666764,11134.401519016084,123974897.18666764,5174.027256428177,
27,XGBoost_grid_1_AutoML_20190417_210453_model_5,124294495.70875312,11148.744131459522,124294495.70875312,5236.301191865043,
28,GBM_3_AutoML_20190417_211914,124363216.4692709,11151.825701169782,124363216.4692709,5179.108523072262,
29,GBM_2_AutoML_20190417_210453,124673116.6663958,11165.711650691854,124673116.6663958,5180.826470563343,
30,XGBoost_grid_1_AutoML_20190417_205327_model_2,125692178.9968539,11211.252338470214,125692178.9968539,5071.029397225623,
31,GBM_1_AutoML_20190417_211914,125983152.96764326,11224.221708770869,125983152.96764326,5186.5617992602,
32,GBM_grid_1_AutoML_20190417_205327_model_4,131766781.58573613,11478.971277328648,131766781.58573613,5485.944763830523,
33,XGBoost_3_AutoML_20190417_205327,133757278.62416875,11565.348184303348,133757278.62416875,5389.211195189179,
